date	word	hits
1-Jan-13	siss	11
2-Jan-13	siss	21
3-Jan-13	siss	5
4-Jan-13	siss	21
5-Jan-13	siss	1
6-Jan-13	siss	13
7-Jan-13	siss	1
8-Jan-13	siss	27
9-Jan-13	siss	12
10-Jan-13	siss	16
11-Jan-13	siss	22
12-Jan-13	siss	29
13-Jan-13	siss	17
14-Jan-13	siss	13
15-Jan-13	siss	10
16-Jan-13	siss	27
17-Jan-13	siss	23
18-Jan-13	siss	26
19-Jan-13	siss	13
20-Jan-13	siss	7
21-Jan-13	siss	11
22-Jan-13	siss	18
23-Jan-13	siss	27
24-Jan-13	siss	29
25-Jan-13	siss	16
26-Jan-13	siss	8
27-Jan-13	siss	21
28-Jan-13	siss	25
29-Jan-13	siss	13
30-Jan-13	siss	11
31-Jan-13	siss	30
1-Feb-13	siss	1
2-Feb-13	siss	26
3-Feb-13	siss	12
4-Feb-13	siss	23
5-Feb-13	siss	19
6-Feb-13	siss	10
7-Feb-13	siss	9
8-Feb-13	siss	10
9-Feb-13	siss	30
10-Feb-13	siss	10
11-Feb-13	siss	9
12-Feb-13	siss	1
13-Feb-13	siss	15
14-Feb-13	siss	23
15-Feb-13	siss	7
16-Feb-13	siss	15
17-Feb-13	siss	6
18-Feb-13	siss	28
19-Feb-13	siss	25
20-Feb-13	siss	22
21-Feb-13	siss	3
22-Feb-13	siss	3
23-Feb-13	siss	16
24-Feb-13	siss	9
25-Feb-13	siss	3
26-Feb-13	siss	16
27-Feb-13	siss	19
28-Feb-13	siss	18
1-Mar-13	siss	11
2-Mar-13	siss	16
3-Mar-13	siss	29
4-Mar-13	siss	6
5-Mar-13	siss	9
6-Mar-13	siss	28
7-Mar-13	siss	12
8-Mar-13	siss	3
9-Mar-13	siss	8
10-Mar-13	siss	4
11-Mar-13	siss	25
12-Mar-13	siss	18
13-Mar-13	siss	19
14-Mar-13	siss	14
15-Mar-13	siss	20
16-Mar-13	siss	1
17-Mar-13	siss	4
18-Mar-13	siss	27
19-Mar-13	siss	22
20-Mar-13	siss	21
21-Mar-13	siss	18
22-Mar-13	siss	15
23-Mar-13	siss	15
24-Mar-13	siss	23
25-Mar-13	siss	13
26-Mar-13	siss	8
27-Mar-13	siss	12
28-Mar-13	siss	14
29-Mar-13	siss	3
30-Mar-13	siss	12
31-Mar-13	siss	24
1-Apr-13	siss	6
2-Apr-13	siss	6
3-Apr-13	siss	18
4-Apr-13	siss	11
5-Apr-13	siss	19
6-Apr-13	siss	21
7-Apr-13	siss	3
8-Apr-13	siss	2
9-Apr-13	siss	4
10-Apr-13	siss	18
11-Apr-13	siss	5
12-Apr-13	siss	19
13-Apr-13	siss	1
14-Apr-13	siss	17
15-Apr-13	siss	16
16-Apr-13	siss	16
17-Apr-13	siss	26
18-Apr-13	siss	22
19-Apr-13	siss	19
20-Apr-13	siss	28
21-Apr-13	siss	12
22-Apr-13	siss	17
23-Apr-13	siss	12
24-Apr-13	siss	27
25-Apr-13	siss	17
26-Apr-13	siss	29
27-Apr-13	siss	22
28-Apr-13	siss	21
29-Apr-13	siss	29
30-Apr-13	siss	24
1-May-13	siss	12
2-May-13	siss	1
3-May-13	siss	6
4-May-13	siss	19
5-May-13	siss	21
6-May-13	siss	26
7-May-13	siss	21
8-May-13	siss	21
9-May-13	siss	15
10-May-13	siss	16
11-May-13	siss	19
12-May-13	siss	12
13-May-13	siss	4
14-May-13	siss	13
15-May-13	siss	13
16-May-13	siss	2
17-May-13	siss	7
18-May-13	siss	17
19-May-13	siss	30
20-May-13	siss	21
21-May-13	siss	20
22-May-13	siss	6
23-May-13	siss	28
24-May-13	siss	15
25-May-13	siss	25
26-May-13	siss	8
27-May-13	siss	9
28-May-13	siss	27
29-May-13	siss	2
30-May-13	siss	19
31-May-13	siss	12
1-Jun-13	siss	6
2-Jun-13	siss	15
3-Jun-13	siss	26
4-Jun-13	siss	15
5-Jun-13	siss	16
6-Jun-13	siss	8
7-Jun-13	siss	30
8-Jun-13	siss	14
9-Jun-13	siss	10
10-Jun-13	siss	6
11-Jun-13	siss	3
12-Jun-13	siss	10
13-Jun-13	siss	1
14-Jun-13	siss	2
15-Jun-13	siss	19
16-Jun-13	siss	25
17-Jun-13	siss	19
18-Jun-13	siss	9
19-Jun-13	siss	28
20-Jun-13	siss	29
21-Jun-13	siss	22
22-Jun-13	siss	12
23-Jun-13	siss	4
24-Jun-13	siss	21
25-Jun-13	siss	12
26-Jun-13	siss	28
27-Jun-13	siss	20
28-Jun-13	siss	3
29-Jun-13	siss	8
30-Jun-13	siss	6
1-Jul-13	siss	15
2-Jul-13	siss	28
3-Jul-13	siss	18
4-Jul-13	siss	2
5-Jul-13	siss	26
6-Jul-13	siss	10
7-Jul-13	siss	1
8-Jul-13	siss	5
9-Jul-13	siss	24
10-Jul-13	siss	14
11-Jul-13	siss	18
12-Jul-13	siss	23
13-Jul-13	siss	6
14-Jul-13	siss	28
15-Jul-13	siss	4
16-Jul-13	siss	3
17-Jul-13	siss	21
18-Jul-13	siss	13
19-Jul-13	siss	3
20-Jul-13	siss	18
21-Jul-13	siss	24
22-Jul-13	siss	6
23-Jul-13	siss	1
24-Jul-13	siss	3
25-Jul-13	siss	13
26-Jul-13	siss	15
27-Jul-13	siss	19
28-Jul-13	siss	16
29-Jul-13	siss	7
30-Jul-13	siss	3
31-Jul-13	siss	17
1-Aug-13	siss	12
2-Aug-13	siss	29
3-Aug-13	siss	18
4-Aug-13	siss	25
5-Aug-13	siss	15
6-Aug-13	siss	1
7-Aug-13	siss	4
8-Aug-13	siss	23
9-Aug-13	siss	22
10-Aug-13	siss	24
11-Aug-13	siss	24
12-Aug-13	siss	20
13-Aug-13	siss	20
14-Aug-13	siss	21
15-Aug-13	siss	22
16-Aug-13	siss	10
17-Aug-13	siss	26
18-Aug-13	siss	30
19-Aug-13	siss	2
20-Aug-13	siss	8
21-Aug-13	siss	30
22-Aug-13	siss	9
23-Aug-13	siss	13
24-Aug-13	siss	4
25-Aug-13	siss	14
26-Aug-13	siss	30
27-Aug-13	siss	13
28-Aug-13	siss	30
29-Aug-13	siss	6
30-Aug-13	siss	27
31-Aug-13	siss	8
1-Sep-13	siss	25
2-Sep-13	siss	20
3-Sep-13	siss	22
4-Sep-13	siss	27
5-Sep-13	siss	5
6-Sep-13	siss	22
7-Sep-13	siss	7
8-Sep-13	siss	3
9-Sep-13	siss	16
10-Sep-13	siss	26
11-Sep-13	siss	6
12-Sep-13	siss	15
13-Sep-13	siss	26
14-Sep-13	siss	14
15-Sep-13	siss	11
16-Sep-13	siss	3
17-Sep-13	siss	23
18-Sep-13	siss	12
19-Sep-13	siss	17
20-Sep-13	siss	21
21-Sep-13	siss	25
22-Sep-13	siss	3
23-Sep-13	siss	25
24-Sep-13	siss	18
25-Sep-13	siss	20
26-Sep-13	siss	19
27-Sep-13	siss	14
28-Sep-13	siss	12
29-Sep-13	siss	14
30-Sep-13	siss	18
1-Oct-13	siss	26
2-Oct-13	siss	17
3-Oct-13	siss	1
4-Oct-13	siss	26
5-Oct-13	siss	15
6-Oct-13	siss	17
7-Oct-13	siss	6
8-Oct-13	siss	9
9-Oct-13	siss	15
10-Oct-13	siss	3
11-Oct-13	siss	12
12-Oct-13	siss	1
13-Oct-13	siss	2
14-Oct-13	siss	1
15-Oct-13	siss	6
16-Oct-13	siss	13
17-Oct-13	siss	16
18-Oct-13	siss	11
19-Oct-13	siss	30
20-Oct-13	siss	4
21-Oct-13	siss	26
22-Oct-13	siss	16
23-Oct-13	siss	9
24-Oct-13	siss	7
25-Oct-13	siss	10
26-Oct-13	siss	24
27-Oct-13	siss	1
28-Oct-13	siss	26
29-Oct-13	siss	26
30-Oct-13	siss	21
31-Oct-13	siss	5
1-Nov-13	siss	30
2-Nov-13	siss	23
3-Nov-13	siss	1
4-Nov-13	siss	8
5-Nov-13	siss	1
6-Nov-13	siss	13
7-Nov-13	siss	20
8-Nov-13	siss	24
9-Nov-13	siss	30
10-Nov-13	siss	24
11-Nov-13	siss	12
12-Nov-13	siss	20
13-Nov-13	siss	7
14-Nov-13	siss	21
15-Nov-13	siss	7
16-Nov-13	siss	25
17-Nov-13	siss	17
18-Nov-13	siss	29
19-Nov-13	siss	15
20-Nov-13	siss	22
21-Nov-13	siss	27
22-Nov-13	siss	8
23-Nov-13	siss	17
24-Nov-13	siss	22
25-Nov-13	siss	27
26-Nov-13	siss	12
27-Nov-13	siss	22
28-Nov-13	siss	8
29-Nov-13	siss	28
30-Nov-13	siss	12
1-Dec-13	siss	13
2-Dec-13	siss	22
3-Dec-13	siss	27
4-Dec-13	siss	10
5-Dec-13	siss	11
6-Dec-13	siss	2
7-Dec-13	siss	18
8-Dec-13	siss	7
9-Dec-13	siss	7
10-Dec-13	siss	21
11-Dec-13	siss	16
12-Dec-13	siss	25
13-Dec-13	siss	18
14-Dec-13	siss	6
15-Dec-13	siss	21
16-Dec-13	siss	28
17-Dec-13	siss	22
18-Dec-13	siss	18
19-Dec-13	siss	7
20-Dec-13	siss	24
21-Dec-13	siss	1
22-Dec-13	siss	5
23-Dec-13	siss	2
24-Dec-13	siss	28
25-Dec-13	siss	30
26-Dec-13	siss	12
27-Dec-13	siss	13
28-Dec-13	siss	30
29-Dec-13	siss	12
30-Dec-13	siss	28
